naam,EASY-dataset-id,type,opmerkingen
Verzamelpagina Archeologie,easy-dataset:33895,N/A,Dit is de 'verzamelpagina van verzamelpagina's': totaaloverzicht van archeologische collecties per organisatie en project
ADC ArcheoProjecten,"easy-dataset:32660,easy-dataset:33600",organisatie,
Aeres Milieu,easy-dataset:61089,organisatie,
Antea Group,"easy-dataset:33886,easy-dataset:34118",organisatie,
ARC bv,"easy-dataset:33598,easy-dataset:33946",organisatie,
ARCADIS,easy-dataset:34383,organisatie,
ArchaeoBone,easy-dataset:44722,organisatie,
Archeodienst bv,easy-dataset:48192,organisatie,
Archeologie West-Friesland,easy-dataset:75441,organisatie,
Archeoplan Eco,easy-dataset:35522,organisatie,
ArcheoPro,easy-dataset:75442,organisatie,
Archol bv,"easy-dataset:31719,easy-dataset:32085",organisatie,
ArGeoBoor,easy-dataset:72605,organisatie,
ARGO,easy-dataset:44053,organisatie,
Arnicon/ArcheoMedia,easy-dataset:75443,organisatie,
ArteFact! Advies en Onderzoek in Erfgoed,easy-dataset:60377,organisatie,
BAAC bv,"easy-dataset:33601,easy-dataset:34141",organisatie,
"Bilan, Fontys Hogescholen",easy-dataset:34138,organisatie,
BOOR,easy-dataset:33887,organisatie,
Bureau voor Archeologie,easy-dataset:64371,organisatie,
Buro de Brug bv,easy-dataset:61052,organisatie,
De Steekproef,easy-dataset:34083,organisatie,
Diachron bv,"easy-dataset:33834,easy-dataset:33976",organisatie,
EARTH Integrated Archaeology,easy-dataset:60381,organisatie,
Econsultancy bv,easy-dataset:34501,organisatie,
Gemeente Alkmaar,easy-dataset:73112,organisatie,
Gemeente Almere,easy-dataset:31948,organisatie,
Gemeente Amersfoort,easy-dataset:49288,organisatie,
Gemeente Amsterdam,easy-dataset:75452,organisatie,
Gemeente Arnhem,easy-dataset:61090,organisatie,
Gemeente Bergen op Zoom,easy-dataset:60382,organisatie,
Gemeente Breda,easy-dataset:42923,organisatie,
Gemeente Delft,easy-dataset:75451,organisatie,
Gemeente Den Haag,easy-dataset:32806,organisatie,
Gemeente Deventer,easy-dataset:34385,organisatie,
Gemeente Dordrecht,easy-dataset:33925,organisatie,
Gemeente Groningen,easy-dataset:34509,organisatie,
Gemeente Nijmegen,easy-dataset:52784,organisatie,
Gemeente Utrecht,easy-dataset:50396,organisatie,
Gemeente Vlaardingen,easy-dataset:32516,organisatie,
Gemeente Zutphen,easy-dataset:34148,organisatie,
GIA,easy-dataset:33731,organisatie,
Greenhouse Advies,easy-dataset:73619,organisatie,
Hamaland-Advies,easy-dataset:74256,organisatie,
Hazenberg Archeologie,easy-dataset:34352,organisatie,
Hollandia Archeologie bv,easy-dataset:33604,organisatie,
IDDS Archeologie B.V.,"easy-dataset:40219,easy-dataset:49278",organisatie,
Jacobs & Burnier,easy-dataset:33755,organisatie,
KSP Archeologie,easy-dataset:77152,organisatie,
Laagland Archeologie,easy-dataset:74255,organisatie,
Libau,easy-dataset:44093,organisatie,
MUG Ingenieursbureau,easy-dataset:49230,organisatie,
Omgevingsdienst regio Utrecht,easy-dataset:60384,organisatie,
Omgevingsdienst Zuidoost-Brabant,easy-dataset:35543,organisatie,
Periplus Archeomare BV,easy-dataset:40460,organisatie,
RAAP,"easy-dataset:32045,easy-dataset:33828",organisatie,
RCE,"easy-dataset:40120,easy-dataset:33121",organisatie,
Salisbury archeologie bv,easy-dataset:77105,organisatie,
ScaraB,easy-dataset:40373,organisatie,
SMA Zeeland BV,easy-dataset:34150,organisatie,
SOB Research,easy-dataset:34149,organisatie,
Stichting Cultureel Erfgoed Noord-Holland,easy-dataset:72624,organisatie,
STRABO,easy-dataset:75432,organisatie,
Sweco,easy-dataset:34144,organisatie,
Synthegra,easy-dataset:34106,organisatie,
Transect,easy-dataset:72627,organisatie,
"Universiteit Leiden, Faculteit Archeologie",easy-dataset:67448,organisatie,
Vergeten Landschap,easy-dataset:54328,organisatie,
Vestigia,"easy-dataset:34081,easy-dataset:61393",organisatie,
VUhbs archeologie,"easy-dataset:33094,easy-dataset:34105",organisatie,
Walcheren Archeologische Dienst,"easy-dataset:72615,easy-dataset:44051",organisatie,
Archeologie in de Betuweroute,easy-dataset:33458,thema,
Archeologie in het trace van de HSL,"easy-dataset:33551,easy-dataset:32076",thema,
Archeologische Kronieken,easy-dataset:62268,thema,Archeologische Kronieken van Noord- en/of Zuid-Holland in het Historisch Tijdschrift 'Holland'.
DCCD - Digital Collaboratory on Cultural-Historical Dendrochronology in the Low Countries,easy-dataset:33764,thema,
Maaswerken,easy-dataset:33841,thema,
NEXUS1492,easy-dataset:103527,thema,
Odyssee onderzoeksprojecten,easy-dataset:34359,thema,
Oogst van Malta ï¿½ onderzoeksprogramma,easy-dataset:33964,thema,
Opgravingsdocumentatie Maritiem Archeologisch Depot,easy-dataset:155737,thema,
APL: Opera Omnia Analecta Praehistorica Leidensia (1964-2006),easy-dataset:33502,thema,
Project Archeologische Begeleiding Verbreding A2,easy-dataset:33589,thema,
Project VleuGel,easy-dataset:34090,thema,
"Schipluiden, Harnaschpolder",easy-dataset:33998,thema,
Udhruh Oral History Project,easy-dataset:57974,thema,
ArcheoDepot,nog geen overzichtspagina,thema/leverancier,Voorheen bekend als PDBS; IPDBS
PAN,nog geen overzichtspagina,thema/leverancier,
